SIZE,Serial,Parallel CPU,Parallel Intel GPU,Parallel Nvidia GPU
32,0.000104,0.000093,0.002958,0.000160
64,0.0006887,0.0002415,0.0021214,0.0001749
128,0.0061503,0.0037829,0.0025543,0.0001786
256,0.0581756,0.0073642,0.0047326,0.0005035
512,0.852517,0.0124091,0.0133528,0.0034965
